city,title,price,area,rooms,link,price_per_m2,area_per_room
gdynia,Mieszkanie na sprzedaż bez pośrednikówul. NarcyzowaGdynia Witomino,440000.0,41.0,2,https://adresowo.pl/o/mieszkanie-gdynia-witomino-ul-narcyzowa-2-pokojowe-l0z3e6,10731.707317073171,20.5
gdynia,Mieszkanie na sprzedażul. CyprysowaGdynia Orłowo,899000.0,53.0,2,https://adresowo.pl/o/mieszkanie-gdynia-orlowo-ul-cyprysowa-2-pokojowe-l9v3y9,16962.264150943396,26.5
gdynia,Mieszkanie na sprzedaż bez pośrednikówul. WielkokackaGdynia Witomino,550000.0,54.0,2,https://adresowo.pl/o/mieszkanie-gdynia-witomino-ul-wielkokacka-2-pokojowe-e1w2x4,10185.185185185184,27.0
gdynia,Mieszkanie na sprzedażul. MorskaGdynia Chylonia,370000.0,38.0,2,https://adresowo.pl/o/mieszkanie-gdynia-chylonia-ul-morska-2-pokojowe-o7j3r5,9736.842105263158,19.0
gdynia,Mieszkanie na sprzedażul. Zbigniewa Kupca 1Gdynia Dąbrowa,615000.0,38.0,2,https://adresowo.pl/o/mieszkanie-gdynia-dabrowa-ul-zbigniewa-kupca-2-pokojowe-q1c6f5,16184.21052631579,19.0
gdynia,Mieszkanie na sprzedaż bez pośrednikówul. ChylońskaGdynia,530000.0,45.0,3,https://adresowo.pl/o/mieszkanie-gdynia-ul-chylonska-3-pokojowe-g6t2m5,11777.777777777777,15.0
gdynia,Mieszkanie na sprzedażul. 2 Morskiego Pułku StrzelcówGdynia Mały Kack,799000.0,48.0,2,https://adresowo.pl/o/mieszkanie-gdynia-maly-kack-ul-2-morskiego-pulku-strzelcow-2-pokojowe-y3j3x3,16645.833333333332,24.0
gdynia,Mieszkanie na sprzedażul. ParkowaGdynia Mały Kack,707550.0,44.0,2,https://adresowo.pl/o/mieszkanie-gdynia-maly-kack-ul-parkowa-2-pokojowe-p9g4r0,16080.681818181818,22.0
gdynia,Mieszkanie na sprzedażul. WiczlińskaGdynia Chwarzno-Wiczlino,385875.0,34.0,2,https://adresowo.pl/o/mieszkanie-gdynia-chwarzno-wiczlino-ul-wiczlinska-2-pokojowe-a8e4g4,11349.264705882353,17.0
gdynia,Mieszkanie na sprzedaż bez pośrednikówul. gen. Mariusza ZaruskiegoGdynia Chwarzno-Wiczlino,760000.0,72.0,3,https://adresowo.pl/o/mieszkanie-gdynia-chwarzno-wiczlino-ul-gen-mariusza-zaruskiego-3-pokojowe-u2d8m1,10555.555555555555,24.0
