city,title,price,area,rooms,link
gdansk,Mieszkanie na sprzedażul. SiennickaGdańsk Śródmieście,"Mieszkanie Gdańsk, ul. Siennicka - 42 m² - 529 000 zł",42,3,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-siennicka-3-pokojowe-s8e4q3
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. Ludwika WaryńskiegoGdańsk Wrzeszcz,"Mieszkanie Gdańsk, ul. Ludwika Waryńskiego, bez pośrednika - 120 m² - 2 311 000 zł",120,4,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-ludwika-warynskiego-4-pokojowe-p7v2x1
gdansk,Mieszkanie na sprzedażul. Ignacego KrasickiegoGdańsk Brzeźno,"Mieszkanie Gdańsk, ul. Ignacego Krasickiego - 52 m² - 1 399 000 zł",52,2,https://adresowo.pl/o/mieszkanie-gdansk-brzezno-ul-ignacego-krasickiego-2-pokojowe-t3l7i8
gdansk,Mieszkanie na sprzedażul. WspółczesnaGdańsk,"Mieszkanie Gdańsk, ul. Współczesna - 58 m² - 639 000 zł",58,3,https://adresowo.pl/o/mieszkanie-gdansk-ul-wspolczesna-3-pokojowe-p2n3d3
gdansk,Mieszkanie na sprzedażul. ChmielnaGdańsk,"Mieszkanie Gdańsk, ul. Chmielna - 27 m² - 1 122 000 zł",27,1,https://adresowo.pl/o/mieszkanie-gdansk-ul-chmielna-1-pokoj-a9e0i0
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. TurzycowaGdańsk Jasień,"Mieszkanie Gdańsk, ul. Turzycowa, bez pośrednika - 65 m² - 865 000 zł",65,3,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-turzycowa-3-pokojowe-r4c4t1
gdansk,Mieszkanie na sprzedażul. OlsztyńskaGdańsk Przymorze,"Mieszkanie Gdańsk, ul. Olsztyńska - 45 m² - 599 000 zł",45,2,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-olsztynska-2-pokojowe-z3q9c1
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. PiastowskaGdańsk Jelitkowo,"Mieszkanie Gdańsk, ul. Piastowska, bez pośrednika - 98 m² - 3 050 000 zł",98,4,https://adresowo.pl/o/mieszkanie-gdansk-jelitkowo-ul-piastowska-4-pokojowe-g0a2b2
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. JesionowaGdańsk Wrzeszcz,zł,35,1,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-jesionowa-1-pokoj-x0u3r3
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. LeszczynowaGdańsk Jasień,"Mieszkanie Gdańsk, ul. Leszczynowa, bez pośrednika - 59 m² - 850 000 zł",59,3,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-leszczynowa-3-pokojowe-w9a1g7
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. GdyńskaGdańsk Żabianka,"Mieszkanie Gdańsk, ul. Gdyńska, bez pośrednika - 31 m² - 550 000 zł",31,1,https://adresowo.pl/o/mieszkanie-gdansk-zabianka-ul-gdynska-1-pokoj-p2e7g6
gdansk,Mieszkanie na sprzedażul. Kolonia ZrębyGdańsk Siedlce,"Mieszkanie Gdańsk, ul. Kolonia Zręby - 60 m² - 749 000 zł",60,5,https://adresowo.pl/o/mieszkanie-gdansk-siedlce-ul-kolonia-zreby-5-pokojowe-k5k1i1
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. Krzysztofa KomedyGdańsk Jasień,"Mieszkanie Gdańsk, ul. Krzysztofa Komedy, bez pośrednika - 55 m² - 874 500 zł",55,3,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-krzysztofa-komedy-3-pokojowe-q7b7f9
gdansk,Mieszkanie na sprzedażul. OgarnaGdańsk Stare Miasto,"Mieszkanie Gdańsk, ul. Ogarna - 48 m² - 915 000 zł",48,2,https://adresowo.pl/o/mieszkanie-gdansk-stare-miasto-ul-ogarna-2-pokojowe-f0n5v8
